PM I00054-3721 	Gl 1 	4.34	 ±	 0.02 	M1.5 	3575 	−7.37 	< 2.50 
PM I00115+5908 		9.23	 ±	 0.12 	M5.5 	2936 	−9.33 	... 
PM I00154-1608 	GJ 1005 AB	4.99	 ±	 0.25 	M4.0 	3165 	−8.44 	< 3.00 
PM I00184+4401 	Gl 15 B 	3.56	 ±	 0.89 	M3.5 	3241 	−8.01 	< 3.09 
PM I01025+7140 	Gl 48 	8.24	 ±	 0.08 	M3.0 	3318 	−8.58 	< 2.50 
PM I01026+6220 	Gl 49 	9.96	 ±	 0.15 	M1.5 	3575 	−8.10 	< 3.40 
PM I01103-6726 	Gl 54 	8.20	 ±	 0.16 	M2.0 	3500 	−8.09 	... 
PM I01125-1659 	Gl 54.1 	3.69	 ±	 0.12 	M4.5 	3089 	−8.30 	< 2.50 
PM I01510-0607 	GJ 3119 	9.92	 ±	 0.19 	M4.5 	3089 	−9.16 	... 
PM I02002+1303 	Gl 83.1 	4.45	 ±	 1.11 	M4.5 	3089 	−8.47 	< 2.50 
PM I02022+1020 	GJ 3128 	8.93	 ±	 2.23 	M6.0 	2860 	−9.40 	... 
PM I02050-1736 	Gl 84 	9.14	 ±	 0.16 	M2.5 	3425 	−8.41 	< 3.00 
PM I02058-3010 	GJ 3135 	9.28	 ±	 0.26 	M2.5 	3425 	−8.42 	... 
PM I02164+1335 	GJ 3146 	8.50	 ±	 2.12 	M5.5 	2936 	−9.26 	... 
PM I02336+2455 	Gl 102 	9.77	 ±	 2.44 	M4.0 	3165 	−9.03 	... 
PM I02362+0652 	Gl 105 B 	7.30	 ±	 1.82 	M4.0 	3165 	−8.77 	< 2.50 
PM I02365-5928 		9.64	 ±	 0.10 	M5.0 	3013 	−9.25 	... 
PM I02442+2531 	Gl 109 	7.51	 ±	 0.13 	M3.0 	3318 	−8.49 	< 2.50 
PM I02530+1652 		3.86	 ±	 0.01 	M8.0 	2555 	−9.02 	... 
PM I03018-1635 	GJ 3193 B 	9.42	 ±	 1.73 	M3.0 	3318 	−8.69 	< 3.00 
PM I03133+0446S	GJ 1057 	8.54	 ±	 2.13 	M5.0 	3013 	−9.15 	< 2.20 
PM I03507-0605 	GJ 1065 	9.49	 ±	 2.37 	M3.5 	3241 	−8.86 	< 4.00 
PM I03526+1701 	GJ 3253 	9.84	 ±	 0.21 	M4.5 	3089 	−9.16 	... 
PM I04311+5858 	Gl 169.1 A 	5.58	 ±	 0.10 	M4.0 	3165 	−8.54 	< 2.00 
PM I04429+1857 	Gl 176 	9.28	 ±	 0.26 	M2.0 	3500 	−8.20 	... 
PM I05019-0656 	GJ 3323 	5.32	 ±	 0.04 	M4.0 	3165 	−8.50 	< 3.20 
PM I05033-1722 	GJ 3325 	9.21	 ±	 0.23 	M3.0 	3318 	−8.67 	< 2.50 
PM I05085-1810 	Gl 190 	9.27	 ±	 0.18 	M3.5 	3241 	−8.84 	... 
PM I05116-4501 	Gl 191 	3.91	 ±	 0.01 	M1.0 	3650 	−7.14 	... 
PM I05280+0938 	Gl 203 	8.81	 ±	 0.41 	M3.5 	3241 	−8.80 	< 4.00 
PM I05421+1229 	Gl 213 	5.83	 ±	 0.14 	M4.0 	3165 	−8.58 	< 2.50 
PM I06000+0242 	GJ 3379 	5.24	 ±	 0.05 	M4.0 	3165 	−8.49 	7.40 
PM I06011+5935 	GJ 3378 	7.94	 ±	 0.21 	M3.5 	3241 	−8.71 	< 2.50 
PM I06024+4951 	GJ 3380 	9.29	 ±	 2.32 	M5.0 	3013 	−9.22 	... 
PM I06103+8206 	Gl 226 	9.37	 ±	 0.12 	M2.0 	3500 	−8.21 	< 2.50 
PM I06105-2151 	Gl 229 	5.75	 ±	 0.03 	M0.5 	3725 	−7.38 	1.00 
PM I06246+2325 	Gl 232 	8.38	 ±	 2.10 	M4.5 	3089 	−9.02 	< 3.09 
PM I06307-7643 		8.76	 ±	 0.15 	M6.0 	2860 	−9.39 	... 
PM I06337-7537N 		8.68	 ±	 0.88 	M3.0 	3318 	−8.62 	... 
PM I06337-7537S 		9.02	 ±	 0.18 	M2.0 	3500 	−8.17 	... 
PM I06523-0511 	Gl 250 B 	8.74	 ±	 2.19 	M2.0 	3500 	−8.15 	< 2.50 
PM I06548+3316 	Gl 251 	5.59	 ±	 0.05 	M3.0 	3318 	−8.24 	< 2.50 
