PM I00054-3721 	 −13.14  	[−13.10, −13.17] 	 < 	 −13.76 	 		−13.01 	 [−12.96, −13.07] 
PM I00115+5908 			 			<  	−13.20 	
PM I00154-1608 	 −14.15  	[−13.93, −14.37] 	 < 	 −13.71 	 		−13.41 	 [−13.29, −13.58] 
PM I00184+4401 			 				−11.89 	 [−11.85, −11.94] 
PM I01025+7140 	 −12.97  	[−12.93, −13.02] 	 	−13.22 	 [−12.95, −13.48] 	 	−13.19 	 [−13.03, −13.43] 
PM I01026+6220 			 			<  	−13.27 	
PM I01103-6726 	 −12.97  	[−12.93, −13.01] 	 	−13.21 	 [−13.00, −13.43]  	<  	−12.87 	
PM I01125-1659 	 −13.10  	[−13.05, −13.14] 	 	−12.70 	 [−12.60, −12.80] 	 	−12.41 	 [−12.36, −12.45] 
PM I01510-0607 	 −13.69  	[−13.60, −13.79] 	 < 	 −13.35 	 		−12.61 	 [−12.48, −12.80] 
PM I02002+1303 	 −13.08  	[−13.03, −13.14] 	 	−12.81 	 [−12.70, −12.92] 	 	−12.08 	 [−12.02, −12.15] 
PM I02022+1020 			 			<  	−12.96 	
PM I02050-1736 		 		−13.18 	 [−12.91, −13.45] 	 	−12.42 	 [−12.33, −12.53] 
PM I02058-3010 			 			<  	−13.11 	
PM I02164+1335 	 −13.96  	[−13.82, −14.10] 	 < 	 −14.19 	 		−12.77 	 [−12.62, −12.98] 
PM I02336+2455 	 −13.13  	[−13.06, −13.21] 	 	−12.89 	 [−12.69, −13.09] 	 	−12.15 	 [−12.07, −12.24] 
PM I02362+0652 	 −14.17  	[−13.89, −14.46] 	 < 	 −13.67 	 	<  	−12.80 	
PM I02365-5928 	 −13.65  	[−13.49, −13.81] 	 	−13.09 	 [−12.84, −13.33] 	 	−12.48 	 [−12.37, −12.63] 
PM I02442+2531 			 				−12.58 	 [−12.48, −12.72] 
PM I02530+1652 			 			<  	−13.03 	
PM I03018-1635 	 −12.89  	[−12.84, −12.95] 	 	−12.64 	 [−12.52, −12.76] 	 	−12.06 	 [−11.98, −12.15] 
PM I03133+0446S 	 −14.41  	[−14.21, −14.61] 	 < 	 −13.92 	 	<  	−13.11 	
PM I03507-0605 			 			<  	−13.09 	
PM I03526+1701 	 −13.87  	[−13.65, −14.09] 	 < 	 −13.62 	 	<  	−13.32 	
PM I04311+5858 	 −11.23  	[−11.21, −11.24] 	 < 	 −13.67 	 		−13.23 	 [−13.16, −13.32] 
PM I04429+1857 	 −12.75  	[−12.71, −12.78] 	 	−12.93 	 [−12.69, −13.17] 	 	−12.72 	 [−12.60, −12.88] 
PM I05019-0656 			 				−12.29 	 [−12.22, −12.38] 
PM I05033-1722 	 −13.99  	[−13.76, −14.23] 	 < 	 −13.66 	 	<  	−13.01 	
PM I05085-1810 			 				−12.83 	 [−12.68, −13.04] 
PM I05116-4501 			 			<  	−13.27 	
PM I05280+0938 			 			<  	−12.99 	
PM I05421+1229 							−13.64 	[−13.57, −13.71] 
PM I06000+0242 							−11.70 	[−11.66, −11.75] 
PM I06011+5935 						< 	−12.94 	
PM I06024+4951 						< 	−12.94 	
PM I06103+8206 	−13.22 	[−13.17, −13.27] 		−13.61 	[−13.18, −14.04] 		−13.02 	[−12.87, −13.25] 
PM I06105-2151 							−12.58 	[−12.49, −12.69] 
PM I06246+2325 						< 	−12.97 	
PM I06307-7643 							−12.66 	[−12.57, −12.79] 
PM I06337-7537N 							−12.53 	[−12.46, −12.63] 
PM I06337-7537S 							−12.53 	[−12.46, −12.63] 
PM I06523-0511 						< 	−13.07 	
PM I06548+3316 							−13.53 	[−13.44, −13.66] 
PM I06577-4417 						< 	−13.27 	
