COMBINED TABLES 1 AND 2 FROM STELZER (2013) APPENDIX.
ALL FLUX VALUES ARE IN ERG/CM2/S!

NAME	 Gl/GJ	 d [pc]	 d_unc [pc]	 SpT	 T_eff [K]	 log f_bol,E 	 v sin(i) [km/s]	 log f_NUV	 log f_NUV_bound	 log f_FUV	 log_f_FUV_bound	 log f_X	 log f_X_bound
PM I00054-3721	 Gl 1	 4.34	 0.02	 M1.5	 3575.0	 −7.37	 < 2.50 	 −13.14	 [−13.10, −13.17]	 −13.76	 N/A	 −13.01	 [−12.96, −13.07]
PM I00115+5908	 N/A	 9.23	 0.12	 M5.5	 2936.0	 −9.33	 ... 	 N/A	 N/A	 N/A	 N/A	 −13.20	 N/A
PM I00154-1608	 GJ 1005 AB	 4.99	 0.25	 M4.0	 3165.0	 −8.44	 < 3.00 	 −14.15	 [−13.93, −14.37]	 −13.71	 N/A	 −13.41	 [−13.29, −13.58]
PM I00184+4401	 Gl 15 B	 3.56	 0.89	 M3.5	 3241.0	 −8.01	 < 3.09 	 N/A	 N/A	 N/A	 N/A	 −11.89	 [−11.85, −11.94]
PM I01025+7140	 Gl 48	 8.24	 0.08	 M3.0	 3318.0	 −8.58	 < 2.50 	 −12.97	 [−12.93, −13.02]	 −13.22	 [−12.95, −13.48]	 −13.19	 [−13.03, −13.43]
PM I01026+6220	 Gl 49	 9.96	 0.15	 M1.5	 3575.0	 −8.10	 < 3.40 	 N/A	 N/A	 N/A	 N/A	 −13.27	 N/A
PM I01103-6726	 Gl 54	 8.2	 0.16	 M2.0	 3500.0	 −8.09	 ... 	 −12.97	 [−12.93, −13.01]	 −13.21	 [−13.00, −13.43]	 −12.87	 N/A
PM I01125-1659	 Gl 54.1	 3.69	 0.12	 M4.5	 3089.0	 −8.30	 < 2.50 	 −13.10	 [−13.05, −13.14]	 −12.70	 [−12.60, −12.80]	 −12.41	 [−12.36, −12.45]
PM I01510-0607	 GJ 3119	 9.92	 0.19	 M4.5	 3089.0	 −9.16	 ... 	 −13.69	 [−13.60, −13.79]	 −13.35	 N/A	 −12.61	 [−12.48, −12.80]
PM I02002+1303	 Gl 83.1	 4.45	 1.11	 M4.5	 3089.0	 −8.47	 < 2.50 	 −13.08	 [−13.03, −13.14]	 −12.81	 [−12.70, −12.92]	 −12.08	 [−12.02, −12.15]
PM I02022+1020	 GJ 3128	 8.93	 2.23	 M6.0	 2860.0	 −9.40	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.96	 N/A
PM I02050-1736	 Gl 84	 9.14	 0.16	 M2.5	 3425.0	 −8.41	 < 3.00 	 N/A	 N/A	 −13.18	 [−12.91, −13.45]	 −12.42	 [−12.33, −12.53]
PM I02058-3010	 GJ 3135	 9.28	 0.26	 M2.5	 3425.0	 −8.42	 ... 	 N/A	 N/A	 N/A	 N/A	 −13.11	 N/A
PM I02164+1335	 GJ 3146	 8.5	 2.12	 M5.5	 2936.0	 −9.26	 ... 	 −13.96	 [−13.82, −14.10]	 −14.19	 N/A	 −12.77	 [−12.62, −12.98]
PM I02336+2455	 Gl 102	 9.77	 2.44	 M4.0	 3165.0	 −9.03	 ... 	 −13.13	 [−13.06, −13.21]	 −12.89	 [−12.69, −13.09]	 −12.15	 [−12.07, −12.24]
PM I02362+0652	 Gl 105 B	 7.3	 1.82	 M4.0	 3165.0	 −8.77	 < 2.50 	 −14.17	 [−13.89, −14.46]	 −13.67	 N/A	 −12.80	 N/A
PM I02365-5928	 N/A	 9.64	 0.1	 M5.0	 3013.0	 −9.25	 ... 	 −13.65	 [−13.49, −13.81]	 −13.09	 [−12.84, −13.33]	 −12.48	 [−12.37, −12.63]
PM I02442+2531	 Gl 109	 7.51	 0.13	 M3.0	 3318.0	 −8.49	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.58	 [−12.48, −12.72]
PM I02530+1652	 N/A	 3.86	 0.01	 M8.0	 2555.0	 −9.02	 ... 	 N/A	 N/A	 N/A	 N/A	 −13.03	 N/A
PM I03018-1635	 GJ 3193 B	 9.42	 1.73	 M3.0	 3318.0	 −8.69	 < 3.00 	 −12.89	 [−12.84, −12.95]	 −12.64	 [−12.52, −12.76]	 −12.06	 [−11.98, −12.15]
PM I03133+0446S	 GJ 1057	 8.54	 2.13	 M5.0	 3013.0	 −9.15	 < 2.20 	 −14.41	 [−14.21, −14.61]	 −13.92	 N/A	 −13.11	 N/A
PM I03507-0605	 GJ 1065	 9.49	 2.37	 M3.5	 3241.0	 −8.86	 < 4.00 	 N/A	 N/A	 N/A	 N/A	 −13.09	 N/A
PM I03526+1701	 GJ 3253	 9.84	 0.21	 M4.5	 3089.0	 −9.16	 ... 	 −13.87	 [−13.65, −14.09]	 −13.62	 N/A	 −13.32	 N/A
PM I04311+5858	 Gl 169.1 A	 5.58	 0.1	 M4.0	 3165.0	 −8.54	 < 2.00 	 −11.23	 [−11.21, −11.24]	 −13.67	 N/A	 −13.23	 [−13.16, −13.32]
PM I04429+1857	 Gl 176	 9.28	 0.26	 M2.0	 3500.0	 −8.20	 ... 	 −12.75	 [−12.71, −12.78]	 −12.93	 [−12.69, −13.17]	 −12.72	 [−12.60, −12.88]
PM I05019-0656	 GJ 3323	 5.32	 0.04	 M4.0	 3165.0	 −8.50	 < 3.20 	 N/A	 N/A	 N/A	 N/A	 −12.29	 [−12.22, −12.38]
